publisher_primary,baseline_score,baseline_rank,min_score,max_score,mean_score,score_range,score_std,min_rank,max_rank,rank_range,mean_absolute_rank_change,top_5_frequency,top_10_frequency,top_20_frequency
PsychoFlux Entertainment,0.471467908609901,271.0,0.37793072857321863,0.5650050886465835,0.471467908609901,0.18707436007336486,0.04138117757063454,203.0,328.0,125.0,18.776470588235295,0.0,0.0,0.0
Artifex Mundi,0.4709601724667578,272.0,0.3573203808457355,0.5845999640877801,0.47096017246675775,0.22727958324204467,0.04854073934934349,182.0,359.0,177.0,37.705882352941174,0.0,0.0,0.0
Pixel Puzzles,0.47060524690828626,273.0,0.39445466285310216,0.5467558309634705,0.4706052469082863,0.1523011681103683,0.03609744027313766,176.0,365.0,189.0,34.55294117647059,0.0,0.0,0.0
KIMIDORI SOFT,0.4700791236915595,274.0,0.37695148416813284,0.5632067632149864,0.4700791236915595,0.18625527904685357,0.0398210559401262,223.0,341.0,118.0,20.24705882352941,0.0,0.0,0.0
GameHouse,0.46981366960112714,275.0,0.3763522538111922,0.5632750853910621,0.4698136696011271,0.18692283157986989,0.03878765220106308,246.0,304.0,58.0,10.541176470588235,0.0,0.0,0.0
Fruitbat Factory,0.46780924742756086,276.0,0.3572939524378,0.578324542417322,0.46780924742756097,0.22103058997952202,0.045160654661056024,227.0,352.0,125.0,27.31764705882353,0.0,0.0,0.0
Avalon Digital,0.4669766273717628,277.0,0.3702574965370649,0.5636957582064609,0.4669766273717628,0.19343826166939598,0.042408036444012136,222.0,363.0,141.0,26.647058823529413,0.0,0.0,0.0
JanduSoft,0.466960290366101,278.0,0.4143243591938982,0.5195962215383038,0.466960290366101,0.10527186234440555,0.029709490546399854,199.0,348.0,149.0,34.36470588235294,0.0,0.0,0.0
Octo Games,0.4664106406755012,279.0,0.399861696042134,0.5329595853088684,0.4664106406755012,0.13309788926673444,0.03592794083779276,160.0,449.0,289.0,57.247058823529414,0.0,0.0,0.0
Daisy Games,0.4658589372135939,280.0,0.3782299256519955,0.5534879487751924,0.46585893721359395,0.17525802312319688,0.04250234945724815,181.0,362.0,181.0,27.176470588235293,0.0,0.0,0.0
Ludosity,0.4649687441361675,281.0,0.380809670481867,0.5491278177904682,0.46496874413616757,0.16831814730860117,0.04474619722687703,154.0,419.0,265.0,40.28235294117647,0.0,0.0,0.0
ESDigital Games,0.46429509572676736,282.0,0.3747696138100461,0.5538205776434887,0.46429509572676736,0.1790509638334426,0.03556666056512152,254.0,355.0,101.0,15.717647058823529,0.0,0.0,0.0
727 Not Hound,0.46385782465546854,283.0,0.38188249169128974,0.5458331576196473,0.4638578246554686,0.1639506659283576,0.045540938290707295,141.0,388.0,247.0,43.576470588235296,0.0,0.0,0.0
SimBin,0.46207227914911064,284.0,0.35029589753811186,0.5738486607601095,0.4620722791491107,0.22355276322199769,0.04734112706249216,214.0,392.0,178.0,38.90588235294118,0.0,0.0,0.0
Wolfs Moon Studios,0.4618452777936247,285.0,0.3883307871773514,0.5353597684098982,0.4618452777936248,0.14702898123254676,0.04069164734167618,161.0,383.0,222.0,34.77647058823529,0.0,0.0,0.0
冷笑黑妖,0.46144500626529006,286.0,0.37377272606071676,0.5491172864698635,0.46144500626529006,0.1753445604091467,0.042101140914132744,188.0,383.0,195.0,30.188235294117646,0.0,0.0,0.0
Kalypso Media Digital,0.461435973392624,287.0,0.3761366320129276,0.5467353147723205,0.461435973392624,0.17059868275939294,0.04084086699454546,198.0,466.0,268.0,47.8235294117647,0.0,0.0,0.0
Henteko Doujin,0.46136281170093163,288.0,0.38885014848297605,0.5338754749188871,0.46136281170093163,0.14502532643591104,0.036443034887710175,218.0,354.0,136.0,26.058823529411764,0.0,0.0,0.0
Wales Interactive,0.4609798274558552,289.0,0.3940052976231872,0.5279543572885232,0.4609798274558552,0.13394905966533605,0.027197412955524032,250.0,364.0,114.0,21.811764705882354,0.0,0.0,0.0
Eroge Japan,0.46030083924874426,290.0,0.36379900821220984,0.5568026702852789,0.4603008392487443,0.19300366207306902,0.03990631844558143,262.0,342.0,80.0,17.08235294117647,0.0,0.0,0.0
Duality Games,0.4600967677128058,291.0,0.3602646245832235,0.5599289108423878,0.4600967677128057,0.19966428625916433,0.040418492438763894,250.0,387.0,137.0,25.50588235294118,0.0,0.0,0.0
Dieselmine,0.4596937187860573,292.0,0.3765971051911615,0.5427903323809532,0.4596937187860573,0.16619322718979168,0.0429063580202716,183.0,443.0,260.0,43.15294117647059,0.0,0.0,0.0
WindField Games,0.4593813425012044,293.0,0.3852912876179117,0.5334713973844971,0.45938134250120444,0.1481801097665854,0.04154416302366904,166.0,390.0,224.0,37.89411764705882,0.0,0.0,0.0
Choice Provisions,0.4592007611750524,294.0,0.3775294069827826,0.540872115367322,0.4592007611750523,0.16334270838453946,0.03257250294777378,264.0,366.0,102.0,16.6,0.0,0.0,0.0
Aksys Games,0.45848654718430015,295.0,0.3416045368020464,0.5753685575665538,0.4584865471843001,0.23376402076450742,0.04814895942192096,219.0,394.0,175.0,39.50588235294118,0.0,0.0,0.0
Hangover Cat Purrroduction,0.45843058487745114,296.0,0.34529715126187177,0.5715640184930304,0.45843058487745103,0.22626686723115863,0.046839452949772875,252.0,375.0,123.0,23.623529411764707,0.0,0.0,0.0
Eternal Dream,0.4581392852164264,297.0,0.37032000984417196,0.5459585605886809,0.45813928521642644,0.1756385507445089,0.047666762424384855,161.0,435.0,274.0,45.23529411764706,0.0,0.0,0.0
Interplay,0.45721757794123785,298.0,0.33796060380561116,0.5764745520768647,0.45721757794123796,0.23851394827125355,0.049262914298486976,242.0,402.0,160.0,39.411764705882355,0.0,0.0,0.0
3D Realms,0.4560617359087308,299.0,0.38907074364532324,0.5230527281721383,0.4560617359087308,0.1339819845268151,0.027768285107785846,267.0,341.0,74.0,14.105882352941176,0.0,0.0,0.0
"TALESSHOP Co., Ltd.",0.4560526006929348,300.0,0.38258618322910964,0.52951901815676,0.4560526006929348,0.1469328349276503,0.04058315057599583,200.0,396.0,196.0,37.129411764705885,0.0,0.0,0.0
BokiBoki Games,0.4559838399815019,301.0,0.37545935095900396,0.5365083290039999,0.45598383998150194,0.16104897804499596,0.041898633351546866,154.0,425.0,271.0,59.576470588235296,0.0,0.0,0.0
Live Motion Games,0.45587093864258194,302.0,0.35253097300198255,0.5592109042831813,0.45587093864258194,0.20667993128119877,0.04503627338026813,211.0,471.0,260.0,44.76470588235294,0.0,0.0,0.0
Hentai works,0.45580787641423653,303.0,0.3589156949024324,0.5527000579260408,0.45580787641423653,0.1937843630236084,0.041176806169380534,118.0,448.0,330.0,60.64705882352941,0.0,0.0,0.0
Flyhigh Works,0.45519431430509427,304.0,0.371314414568692,0.5390742140414966,0.45519431430509427,0.16775979947280456,0.03613743474633643,269.0,344.0,75.0,13.623529411764705,0.0,0.0,0.0
Sounding Stone / 老奉毊,0.45292019408193496,305.0,0.3446898632881275,0.5611505248757424,0.452920194081935,0.21646066158761484,0.04522203403076436,264.0,378.0,114.0,20.435294117647057,0.0,0.0,0.0
Cyber Keks,0.4519998444941309,306.0,0.36892947049826486,0.5350702184899969,0.4519998444941309,0.16614074799173206,0.04027749053582509,197.0,470.0,273.0,40.741176470588236,0.0,0.0,0.0
Hunny Bunny Studio,0.45194753905257834,307.0,0.36982923340227514,0.5340658447028817,0.45194753905257834,0.16423661130060652,0.03562502458626678,164.0,424.0,260.0,54.65882352941176,0.0,0.0,0.0
Positech Games,0.45183725828491816,308.0,0.3850815246564661,0.5185929919133702,0.45183725828491816,0.13351146725690405,0.02863695223524697,263.0,386.0,123.0,26.50588235294118,0.0,0.0,0.0
Might and Delight,0.45164415533767394,309.0,0.36482163258588357,0.5384666780894644,0.45164415533767394,0.17364504550358079,0.045535898132031856,144.0,476.0,332.0,54.11764705882353,0.0,0.0,0.0
Nomad Games,0.4513542049195513,310.0,0.3426604987481699,0.5600479110909327,0.4513542049195513,0.21738741234276276,0.04661639366143868,219.0,487.0,268.0,47.1764705882353,0.0,0.0,0.0
Lovely Games Hentai Club,0.4511895257570878,311.0,0.38996305154627287,0.5124159999679028,0.4511895257570879,0.1224529484216299,0.027493492468612747,266.0,358.0,92.0,17.04705882352941,0.0,0.0,0.0
Eastasiasoft Limited,0.4499995145871722,312.0,0.36643816725275996,0.5335608619215844,0.4499995145871722,0.1671226946688244,0.04001281504861872,165.0,429.0,264.0,53.15294117647059,0.0,0.0,0.0
Disney,0.4499568114063365,313.0,0.3451273716593127,0.5547862511533602,0.4499568114063365,0.20965887949404755,0.04474752575370956,242.0,446.0,204.0,41.752941176470586,0.0,0.0,0.0
Green Sauce Games,0.44972409503600613,314.0,0.3335621102212315,0.5658860798507809,0.4497240950360062,0.23232396962954938,0.04630252204145184,268.0,406.0,138.0,22.270588235294117,0.0,0.0,0.0
Hitcents,0.4495359082258053,315.0,0.3829332794164827,0.5161385370351279,0.4495359082258053,0.1332052576186452,0.03546296098788256,213.0,416.0,203.0,33.22352941176471,0.0,0.0,0.0
